url,address,location,price,detail1,detail2,page
"https://www.loopnet.com/Listing/794-San-Jose-Ave-San-Francisco-CA/39773489/","794 San Jose Ave","San Francisco, CA 94110","$2,200,000","4.10% Cap Rate","8 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/1355-47th-Ave-San-Francisco-CA/39773484/","1355 47th Ave","San Francisco, CA 94122","$1,100,000","3.80% Cap Rate","5 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/1920-Camino-Verde-Walnut-Creek-CA/39771857/","1920 Camino Verde","Walnut Creek, CA 94597","$1,695,000","4.12% Cap Rate","3 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/3501-Lafayette-St-Santa-Clara-CA/39770597/","3501 Lafayette St","Santa Clara, CA 95054","$7,225,000","4.71% Cap Rate","17 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/555-569-S-2nd-St-San-Jose-CA/39768608/","555-569 S 2nd St","San Jose, CA 95112","$8,280,000","6.93% Cap Rate","39 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/605-San-Pablo-Ave-Albany-CA/39750395/","605 San Pablo Ave","Albany, CA 94706","$2,720,000","5.41% Cap Rate","10 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/720-Shell-Ave-Martinez-CA/39749320/","720 Shell Ave","Martinez, CA 94553","$16,295,000","5.46% Cap Rate","42 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/126-136-N-7th-St-San-Jose-CA/39749258/","126-136 N 7th St","San Jose, CA 95112","Silicon Valley Multifamily Group","$2,250,000","4.63% Cap Rate","1"
"https://www.loopnet.com/Listing/2748-Kollmar-Dr-San-Jose-CA/39748246/","2748 Kollmar Dr","San Jose, CA 95127","$4,600,000","6.73% Cap Rate","16 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/19-Joost-Ave-San-Francisco-CA/39743519/","19 Joost Ave","San Francisco, CA 94131","$1,350,000","5.07% Cap Rate","3 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/2466-Virginia-St-Berkeley-CA/39729997/","2466 Virginia St","Berkeley, CA 94709","$4,000,000","6.16% Cap Rate","18 Unit Dormitory","2"
"https://www.loopnet.com/Listing/1430-Josephine-St-Berkeley-CA/39728365/","1430 Josephine St","Berkeley, CA 94703","$5,280,000","5.40% Cap Rate","19 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/251-Middlefield-Rd-Palo-Alto-CA/39728052/","251 Middlefield Rd","Palo Alto, CA 94301","$7,988,000","7 Unit Apartment Building","9,215 SF","2"
"https://www.loopnet.com/Listing/2212-Sacramento-St-Berkeley-CA/39715417/","2212 Sacramento St","Berkeley, CA 94702","$4,000,000","23 Unit Apartment Building","20,300 SF","2"
"https://www.loopnet.com/Listing/20317-Wisteria-St-Castro-Valley-CA/39715317/","20317 Wisteria St","Castro Valley, CA 94546","$2,395,000","5.40% Cap Rate","10 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/1650-Clay-St-San-Francisco-CA/39712733/","1650 Clay St","San Francisco, CA 94109","$4,200,000","14 Unit Apartment Building","8,975 SF","2"
"https://www.loopnet.com/Listing/1626-Francisco-St-Berkeley-CA/39712132/","1626 Francisco St","Berkeley, CA 94703","$2,800,000","5.80% Cap Rate","10 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/1430-1436-45th-Ave-Oakland-CA/39695764/","1430-1436 45th Ave","Oakland, CA 94601","$1,295,000","6.41% Cap Rate","10 Unit Apartment Building","2"
