Listing URL,Thumbnail URL,Broker Logo URL,Address,Headline,Location,Price,Cap Rate,Building Category,Square Footage
https://www.loopnet.com/Listing/449-451-9th-St-San-Francisco-CA/36666257/,https://images1.loopnet.com/i2/XHK1b_1IqxlGqKL2jPBPJiEOixVZUexMOPWeNEWiRxI/115/multifamily-property-for-sale-449-451-9th-st-san-francisco-ca-94103.jpg,https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png,449-451 9th St,,"San Francisco, CA 94103","$2,488,000",6.55% Cap Rate,11 Unit Apartment Building,
https://www.loopnet.com/Listing/2070-3rd-St-Santa-Clara-CA/36665955/,https://images1.loopnet.com/i2/p9-Sk2egyWF7rrEiBsTJRAih7ZhLvFFOnFNHIAKwRdU/115/multifamily-property-for-sale-2070-3rd-st-santa-clara-ca-95054.jpg,https://images1.loopnet.com/i2/qeJgJX-jGGdHn-Ksgs9r_3T8hB3a7SYXdFCl2lyFcQw/105/image.jpg,2070 3rd St,,"Santa Clara, CA 95054","$2,788,000",6.59% Cap Rate,10 Unit Apartment Building,
https://www.loopnet.com/Listing/537-Chester-St-Oakland-CA/36645841/,https://images1.loopnet.com/i2/ZeFmt5EjnhGfUh9cRwifRk6NKlPwL18HRALKSuKemD4/115/multifamily-property-for-sale-537-chester-st-oakland-ca-94607.jpg,https://images1.loopnet.com/i2/NCPYF-ZyHhrP7HW8A4p2fiEXLjAkTC2Gnmc9Q_aDkpM/105/image.png,537 Chester St,Duplex - Seller Financing Available,"Oakland, CA 94607","$675,000",5.15% Cap Rate,2 Unit Apartment Building,
https://www.loopnet.com/Listing/617-16th-St-Richmond-CA/36645724/,https://images1.loopnet.com/i2/E1bf1hytEQwPj9cYCs-bJPnguoawjCXjOyDj2XY9oFM/115/multifamily-property-for-sale-617-16th-st-richmond-ca-94801.png,https://images1.loopnet.com/i2/53js0WhJTcCCLBPGHPZMVy0lKwkHCn2y1N3zlheanAo/105/image.png,617 16th St,,"Richmond, CA 94801","$650,000",4.10% Cap Rate,2 Unit Apartment Building,
https://www.loopnet.com/Listing/311-321-Valley-St-Sausalito-CA/36622109/,https://images1.loopnet.com/i2/yOvJYtGXJKj7E4wjYmAPioQ0qfPPcFKeow-ERzzg65w/115/multifamily-property-for-sale-311-321-valley-st-sausalito-ca-94965.jpg,https://images1.loopnet.com/i2/y3G_SYoLAf-tWM9PHRqrxaxrfvr92eYp0Ura5yxoSm8/105/image.jpg,311-321 Valley St,,"Sausalito, CA 94965","$3,450,000",4.26% Cap Rate,6 Unit Apartment Building,
https://www.loopnet.com/Listing/931-941-N-Madison-St-Stockton-CA/36603763/,https://images1.loopnet.com/i2/iQqk8jykMetSN-Zl4gf_RYj-mryr5zyOUD7UhyMnZ48/115/multifamily-property-for-sale-931-941-n-madison-st-stockton-ca-95202.jpg,https://images1.loopnet.com/i2/IK_GDAnlr4Jf9Iu18rnSiVU5rr1Uq_67UIFtDoQiHmE/105/image.jpg,931-941 N Madison St,,"Stockton, CA 95202","$799,500",11.27% Cap Rate,8 Unit Apartment Building,
https://www.loopnet.com/Listing/168-Johnson-St-Windsor-CA/36578281/,https://images1.loopnet.com/i2/dQdrz7KtxQWQ4daYI0IufpdpCg2muPfSxijTaa-pNu8/115/office-retail-retail-property-for-sale-168-johnson-st-windsor-ca-95492.jpg,https://images1.loopnet.com/i2/ujcHlkMJN-iWL5DNSy12F_RyJ9C8R4ahTwFK3mdZMZM/105/image.png,168 Johnson St,Town Green Village,"Windsor, CA 95492","$395,000",,2 Units Available,817 SF
https://www.loopnet.com/Listing/8124-Greenly-Dr-Oakland-CA/36541726/,https://images1.loopnet.com/i2/N7s0syyiGWM-PknCUZ5rlvQQMki-VY6vgAuXEMePXQw/115/multifamily-property-for-sale-8124-greenly-dr-oakland-ca-94605.jpg,https://images1.loopnet.com/i2/kRWA1RlC6K6i5jdUANbYp_oVKwUeo94aVnvWLm9gTrA/105/image.png,8124 Greenly Dr,,"Oakland, CA 94605","$1,150,000",5.03% Cap Rate,2 Unit Apartment Building,
https://www.loopnet.com/Listing/1926-1930-Lombard-St-San-Francisco-CA/36531407/,https://images1.loopnet.com/i2/UBUU9nxa2fn81z5XepySdJSeBDowxksGwsqitO1goDI/115/multifamily-property-for-sale-1926-1930-lombard-st-san-francisco-ca-94123.jpg,https://images1.loopnet.com/i2/L8Nd-ddKgJIRoYislnG21P2o126HeNiNvKj54Rwa9II/105/image.jpg,1926-1930 Lombard St,,"San Francisco, CA 94123","$6,498,000",4.71% Cap Rate,10 Unit Apartment Building,
https://www.loopnet.com/Listing/3615-22nd-St-Sacramento-CA/36519494/,https://images1.loopnet.com/i2/jl5qV2L4vUI6lgwG7CMPhYH1zBq_ytzrnHJmdRbYXxU/115/multifamily-property-for-sale-3615-22nd-st-sacramento-ca-95818.jpg,https://images1.loopnet.com/i2/eyBP9IPlRK88o7u7MTn1Fw5t-jNrpqkw1q_SiZND10Y/105/image.jpg,3615 22nd St,,"Sacramento, CA 95818","$1,200,000",,2 Unit Apartment Building,"3,400 SF"
