"placard-pseudo href","company-logo src","image-hide src","header-col","subtitle-beta","subtitle-beta href","data-points-2c","data-points-2c 2","data-points-2c 3","subtitle-alpha","subtitle-alpha href"
"https://www.loopnet.com/Listing/1469-Pacific-Ave-San-Francisco-CA/31846054/","https://images1.loopnet.com/i2/wMHiln1Nr4WCAAMRQWwxB5pBcEmtRYd-rhFznm8s1PQ/105/image.jpg","https://images1.loopnet.com/i2/v7-r3iBQaKCQVLaNY7Djak30Jt3fGk45xTIPwS2ltJY/115/flex-property-for-sale-1469-pacific-ave-san-francisco-ca-94109.jpg","1469 Pacific Ave","San Francisco, CA 94109","https://www.loopnet.com/Listing/1469-Pacific-Ave-San-Francisco-CA/31846054/","$7,150,000","16,493 SF Flex Building","Built in 1921","",""
"https://www.loopnet.com/Listing/1812-Polk-St-San-Francisco-CA/31805736/","https://images1.loopnet.com/i2/4NxdAMePjsAcKKU6F10kf96g8KLUZ0a2WHaAJCUsMeM/105/image.png","https://images1.loopnet.com/i2/5-8tBn5ZnsyKIQiqT0Suv4VQE-Zhe-owciOV_RrvPu0/115/retail-property-for-sale-1812-polk-st-san-francisco-ca-94109.jpg","1812 Polk St","San Francisco, CA 94109","https://www.loopnet.com/Listing/1812-Polk-St-San-Francisco-CA/31805736/","$1,600,000","1 Unit Available","3,052 SF Unit","",""
"https://www.loopnet.com/Listing/1010-Mission-St-San-Francisco-CA/31623404/","https://images1.loopnet.com/i2/L8Nd-ddKgJIRoYislnG21P2o126HeNiNvKj54Rwa9II/105/image.jpg","https://images1.loopnet.com/i2/sqlOy2IvhGNvrikZdsp-g0FomhflIilGgvAT-6Fcg28/115/land-property-for-sale-1010-mission-st-san-francisco-ca-94103.jpg","1010 Mission St","San Francisco, CA 94103","https://www.loopnet.com/Listing/1010-Mission-St-San-Francisco-CA/31623404/","$3,500,000","1 Residential Income Lot","0.10 AC Lot","1010V Mission Street","https://www.loopnet.com/Listing/1010-Mission-St-San-Francisco-CA/31623404/"
"https://www.loopnet.com/Listing/2412-2414-Lombard-St-San-Francisco-CA/31611174/","https://images1.loopnet.com/i2/9A6SwD6--CvmS94G-iDUyGP101yq2NvzSVHm413uUVs/105/image.png","https://images1.loopnet.com/i2/rgCepJsuMfHH_AmOs31MW8XVRfiEZGuZjb_VNnjjfPU/115/retail-property-for-sale-2412-2414-lombard-st-san-francisco-ca-94123.jpg","2412-2414 Lombard St","San Francisco, CA 94123","https://www.loopnet.com/Listing/2412-2414-Lombard-St-San-Francisco-CA/31611174/","$3,350,000","9.20% Cap Rate","3,513 SF Retail Building","",""
"https://www.loopnet.com/Listing/1349-Larkin-St-San-Francisco-CA/31404441/","https://images1.loopnet.com/i2/4nFa_hPLCyTrY5GXLONEV1fAE6N3JmIkGpA8SVXYdUg/105/image.jpg","https://images1.loopnet.com/i2/vG23JmnZ2U5u44uH_HuvATQAKtwSBCGeMl-4YNJjWr4/115/office-property-for-sale-1349-larkin-st-san-francisco-ca-94109.jpg","1349 Larkin St","San Francisco, CA 94109","https://www.loopnet.com/Listing/1349-Larkin-St-San-Francisco-CA/31404441/","$2,300,000","6,750 SF Office Building","Built in 1909","",""
"https://www.loopnet.com/Listing/1126-Sanchez-St-San-Francisco-CA/31182757/","https://images1.loopnet.com/i2/mn0WxN8tnpXKtRiuQ7UACPA-mQhvFUkRVWzeXu71Sos/105/image.jpg","https://images1.loopnet.com/i2/CShAypXP7oOB3AE85iREQsdK-JN_U8Bc5cBvEDsrb94/115/multifamily-property-for-sale-1126-sanchez-st-san-francisco-ca-94114.jpg","1126 Sanchez St","San Francisco, CA 94114","https://www.loopnet.com/Listing/1126-Sanchez-St-San-Francisco-CA/31182757/","$7,750,000","4 Unit Apartment Building","6,027 SF","The Sanchez","https://www.loopnet.com/Listing/1126-Sanchez-St-San-Francisco-CA/31182757/"
"https://www.loopnet.com/Listing/1601-Folsom-St-San-Francisco-CA/30975094/","https://images1.loopnet.com/i2/-iyvt1Ug3rTd7UENZmzoqYFSM9_deId0nS_w4hzV-Vg/105/image.jpg","https://images1.loopnet.com/i2/0WffN6_QWng8se86F0GgpTTwGFXV59_EG4jCz-XVco0/115/industrial-property-for-sale-1601-folsom-st-san-francisco-ca-94103.jpg","1601 Folsom St","San Francisco, CA 94103","https://www.loopnet.com/Listing/1601-Folsom-St-San-Francisco-CA/30975094/","$999,500","500 SF Industrial Building","Built in 1922","",""
"https://www.loopnet.com/Listing/1122-1126-Folsom-St-San-Francisco-CA/30911644/","https://images1.loopnet.com/i2/sMmjtVkLviEI-Ydwh6HRjkJZM7Fk6_u92oMfbyvH6ek/105/image.jpg","https://images1.loopnet.com/i2/Az905frytqoUl47bI12EO-orocslJAgdDM2rpNcuF4Q/115/industrial-property-for-sale-1122-1126-folsom-st-san-francisco-ca-94103.jpg","1122-1126 Folsom St","San Francisco, CA 94103","https://www.loopnet.com/Listing/1122-1126-Folsom-St-San-Francisco-CA/30911644/","$4,895,000","8,000 SF Industrial Building","Built in 1923","Brainwash Building","https://www.loopnet.com/Listing/1122-1126-Folsom-St-San-Francisco-CA/30911644/"
"https://www.loopnet.com/Listing/111-Quint-St-San-Francisco-CA/30880210/","https://images1.loopnet.com/i2/5zkguhyDHpKgcfLJOO3WRQ4HrhW3PdLsGRzuQknvBoE/105/image.jpg","https://images1.loopnet.com/i2/LoThldYoo2A5_RfRsoozIsiWBDNSSK0_bPEXwxmD7rA/115/industrial-property-for-sale-111-quint-st-san-francisco-ca-94124.jpg","111 Quint St","San Francisco, CA 94124","https://www.loopnet.com/Listing/111-Quint-St-San-Francisco-CA/30880210/","$1,495,000","1 Unit Available","5,214 SF Unit","",""
"https://www.loopnet.com/Listing/2976-2980-Mission-St-San-Francisco-CA/30852158/","https://images1.loopnet.com/i2/5yTbgcLhsnnByY_OAAn2DygZwQLNGN3vPLx_ln2g3A8/105/image.jpg","https://images1.loopnet.com/i2/ekiWYj2SQq_9VA1XtkOUzt8DgmtHlkui9R15-q8XPrs/115/multifamily-property-for-sale-2976-2980-mission-st-san-francisco-ca-94110.jpg","2976-2980 Mission St","San Francisco, CA 94110","https://www.loopnet.com/Listing/2976-2980-Mission-St-San-Francisco-CA/30852158/","$1,600,000","4 Unit Apartment Building","3,490 SF","",""
